x,y,z
-140463,-30977,151
-136211,-12166,255
-123184,-9111,79
-121276,9758,191
-120674,1960,194
-116780,-32596,334
-115480,-4816,107
-109680,20655,296
-109192,-36075,394
-109172,-34963,394
-93540,-14096,324
-92287,65956,105
-84732,68067,135
-83690,-18690,585
-83783,-80965,114
-75594,17901,334
-68707,-43345,131
-63854,-92327,78
-62677,19974,398
-46443,-37998,141
-45400,-1310,192
-42594,70948,151
-42513,82067,107
-34132,-26960,145
-29884,57526,334
-28425,47511,327
-26758,81974,213
-25311,69736,331
-24717,31927,400
-23978,27477,327
-21560,67497,380
-19610,-25914,94
-17218,8550,185
-17186,19669,239
-14028,71922,330
-13567,-57065,30
-6524,61902,254
254,-1483,53
1790,-51520,78
6322,16312,71
14022,-32601,62
13971,-10362,71
16178,18554,59
21414,38586,60
24364,56389,124
25738,86417,153
30369,60865,75
31263,34182,137
31216,43078,86
32301,-18075,129
33150,-33638,345
34145,-74775,441
33874,105361,184
37632,102049,121
39277,-34713,346
41380,-6899,270
42166,95408,100
44793,45389,45
45988,85429,107
47728,-39100,359
49386,-54654,278
49452,29858,72
54225,86611,131
56563,-83503,90
55862,72171,141
55851,73283,131
59158,-33438,452
63585,-91218,16
63172,91149,136
65718,64488,130
65456,87838,118
66256,83399,109
68438,24486,145
71226,-18851,254
70784,81227,140
71928,48992,152
73312,59018,60
78296,-34332,283
81859,40225,184
81960,86933,127
84694,230,220
85540,46949,178
87981,-16404,218
86885,58090,137
94901,74895,144
96720,9309,230
96467,24875,282
98187,-34040,129
105188,-40595,65
107070,-17206,190
113152,-15982,170
111636,64067,156
114546,-49321,131
120891,-21392,10
122870,-43597,99
125007,937,92
128096,-1222,67
142077,-45399,18
145302,-51996,20
150921,-61870,55
-159812,-39393,215
-159806,-68316,167
-158368,-42768,271
-156586,-62838,166
-153432,-29548,263
-153090,-46242,149
-148708,-24105,190
-148491,-46357,187
-146620,-64200,220
-145922,-35296,149
-143939,-16435,228
-129848,-72,210
-128276,-33474,210
-127684,-5680,234
-126536,-23500,110
-125353,-3505,217
-124685,-7968,100
-124038,-13542,120
-119464,-13635,133
-118084,17479,234
-117307,-20351,214
-116742,8555,183
-114528,-34864,371
-113301,-10418,230
-111242,-22691,290
-110314,27340,228
-108729,-10503,300
-108027,-13852,278
-107305,26173,260
-104273,-17256,371
-103712,14987,225
-103460,29441,281
-101596,-39544,323
-101256,-65129,338
-96756,22655,290
-97055,-42955,297
-96147,-34073,383
-95716,-55210,255
-94512,-27426,432
-93956,-40780,415
-93350,-1866,301
-93332,-754,322
-92261,19247,223
-93102,-85277,82
-89885,25884,119
-88961,36991,251
-88794,48109,266
-89164,-79776,99
-88936,-64210,214
-87683,-30866,154
-86804,-76474,83
-85629,5803,289
-85061,-62042,214
-84906,-50923,213
-83936,18012,330
-83716,33578,96
-82882,39127,194
-82771,-63186,220
-81792,-47630,268
-80712,-24291,407
-79712,-6511,493
-79475,11279,342
-78818,3485,382
-79258,-88810,33
-78609,-38776,264
-78030,-53240,180
-75197,49033,209
-74547,-19922,390
-73962,-97772,98
-72356,34541,180
-73017,-83327,57
-71263,62329,230
-70390,8940,347
-69838,-8859,415
-68588,33384,256
-69022,-71142,51
-68015,-50025,165
-67728,-24452,283
-67188,23360,300
-66815,-11118,405
-64428,67810,196
-64887,-44499,104
-63599,-67865,45
-62900,-1152,393
-61617,48876,208
-61512,58883,176
-60921,-31197,121
-59304,-22317,174
-59026,-72360,98
-56696,11018,434
-54591,-7906,351
-52692,34334,349
-52257,-2366,406
-51974,-57968,99
-51393,-80213,39
-50660,6516,434
-50299,-41303,135
-49564,46539,288
-49480,56546,267
-49688,-60211,47
-49277,-10175,221
-48722,-35756,119
-47282,48744,258
-47061,-19089,198
-45799,45396,306
-45574,74306,136
-45522,80978,108
-45168,-72479,43
-44038,78742,123
-43485,52051,304
-43354,69841,102
-42618,67612,153
-42545,77619,133
-42749,-56929,55
-42159,26466,375
-42112,33137,328
-42112,-75836,65
-41935,-50262,52
-41642,-8010,200
-41067,74273,142
-41044,77608,148
-40170,-15803,143
-39542,77598,152
-39481,-26928,97
-39247,8654,517
-38077,72029,151
-38004,83148,152
-38015,-36945,121
-37133,-18047,142
-35931,54224,310
-35877,63119,320
-35257,40876,350
-33999,-3610,223
-33631,60882,400
-33561,73113,253
-33529,78673,161
-33071,26408,445
-32168,-89241,108
-31367,61982,386
-30591,66425,289
-29097,64194,325
-29037,76425,260
-28596,11929,429
-28312,70862,325
-27780,24157,378
-27723,36388,322
-27345,-47010,37
-26794,74190,315
-26097,61956,356
-26043,74187,338
-25141,-70371,0
-25096,-59252,17
-24768,19696,412
-24666,44159,311
-24508,81964,238
-23234,24138,426
-22628,-15895,82
-22047,-65935,13
-21153,-30356,123
-20973,20793,365
-20275,3000,251
-20090,57484,301
-20059,66380,350
-18685,25234,314
-18597,53032,322
-17799,67485,335
-15935,-81522,58
-15792,-27037,118
-14797,65252,367
-12630,22994,225
-11145,6311,145
-11083,39670,196
-11016,75252,324
-8908,-22603,141
-8209,-70417,98
-8127,-9261,68
-7332,17425,166
-3518,53004,226
-2812,-49296,20
-2045,-48184,34
-2004,71906,266
-508,-4818,72
251,70794,286
1778,-11490,73
1765,34100,115
1762,41883,212
1759,55227,216
4803,18534,142
4779,47445,165
5503,80804,225
6333,6304,57
8627,-3700,90
9412,-19266,140
10104,22989,87
10969,-35943,179
10774,70804,212
12486,-29268,148
12324,48568,178
13152,15211,32
13024,73032,183
16790,69706,132
18515,-1454,60
18311,64151,164
19006,81944,124
19861,50812,127
20697,27464,70
22095,58604,163
22045,71947,147
21952,96409,156
22714,93076,124
23427,101974,138
24830,-57029,354
25443,-20332,185
26705,38608,63
26674,45279,73
26579,66406,146
27305,71969,133
27284,76417,144
28253,30831,93
28158,50846,120
29878,8600,59
29728,38622,85
29582,67532,143
31941,48641,124
31917,53089,77
33278,-56988,402
33088,-22518,149
33209,90903,113
34603,-20286,262
33933,95354,120
35222,4181,33
35084,27532,86
36429,-70314,444
35888,19752,86
38768,43122,67
39590,33120,94
39426,57582,106
39239,85380,96
40111,67594,94
41878,-79174,278
41899,27576,113
44129,33152,65
45012,16479,106
46026,-16873,209
45513,49842,66
45436,59849,115
45341,72080,104
46624,4259,171
46477,23162,91
46407,32057,91
46372,36505,58
48000,-73569,308
47974,-70233,312
47261,19832,140
46630,98778,126
48503,53202,58
50350,13186,162
50086,44319,48
51878,-76873,208
52863,-13481,171
52391,39891,54
53046,51017,120
54930,-73510,227
53719,59919,119
53526,81045,123
53434,91052,139
54545,52142,88
55465,34359,82
55434,37694,64
56485,6568,190
56253,31030,103
58337,49954,65
58991,59969,118
61279,-92353,74
59947,39962,86
59710,63313,89
61646,-52317,503
60382,71103,134
60291,79998,129
61816,5509,247
61111,73335,126
60902,93348,131
62727,-8938,287
63265,12196,199
63147,23316,155
64917,-71188,240
64505,37786,117
64818,77822,109
67605,-105630,0
67556,-101183,0
67298,-8888,343
66647,48930,91
68585,76753,142
68402,92319,142
69848,33399,184
72860,-27727,285
72550,-2154,221
71629,73454,128
74004,-58851,164
75610,-64391,196
74401,32342,115
76497,-13226,269
76199,10123,271
77388,-23223,348
76383,54608,95
78368,-39891,261
76801,80191,90
77816,60187,63
77743,65746,61
79458,-6515,241
81551,-48745,257
80645,73570,68
83475,85842,115
84689,53610,72
84561,62504,126
84305,80294,109
88193,-30859,276
87887,41423,140
87738,51430,118
88559,46994,116
89751,18097,284
89094,61459,119
92088,62617,111
94583,378,298
93700,55970,185
93505,68200,125
95768,-26294,94
95450,-6281,313
97099,-14039,132
97523,52695,231
97339,63814,140
98769,68285,116
100124,32720,235
99992,40503,205
99917,44950,311
101069,21615,200
101815,66113,149
103672,2753,170
105420,-53936,58
103398,61692,392
103261,69475,303
106209,-11660,186
105735,15023,240
107040,68430,249
109500,-24948,190
109815,-474,72
111743,18469,175
113592,-39330,96
115226,-4821,126
114798,17415,205
116224,-17036,184
122236,-12467,82
126724,-44629,36
131057,-32302,16
130476,-5620,100
132684,-36715,39
131778,4419,121
138143,-41041,40
143715,-49810,30
145757,-7492,8
146655,-13031,6
154392,-17287,5
160524,-18238,29
161600,-1523,0
172891,-23457,15
